2026-02-21 22:54:17 | PRICE    | ACVA   | $   6.66 | News: Feb 21  10:03 PM ET    | KW: none                           | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To Expect | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To ExpectACVAStockStory
2026-02-21 22:54:17 | PRICE    | MAX    | $   7.84 | News: Feb 21  10:02 PM ET    | KW: none                           | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look For | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look ForMAXStockStory
2026-02-21 22:54:17 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:01 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 22:54:17 | WATCH    | WBD    | $  28.75 | News: Feb 21  09:54 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 22:54:17 | WATCH    | NFLX   | $  78.67 | News: Feb 21  09:54 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 22:54:17 | WATCH    | WBD    | $  28.75 | News: Feb 21  07:54 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 22:54:17 | WATCH    | NFLX   | $  78.67 | News: Feb 21  07:54 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 22:54:17 | WATCH    | PSKY   | $  10.71 | News: Feb 21  07:54 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 22:54:17 | WATCH    | WBD    | $  28.75 | News: Feb 21  05:54 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 22:54:17 | WATCH    | NFLX   | $  78.67 | News: Feb 21  05:54 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 22:54:17 | KEYWORD  | HON    | $ 243.97 | News: Feb 21  04:54 PM ET    | KW: deal                           | Honeywell may walk away from Johnson Matthey catalyst deal, Bloomberg reports | Honeywell may walk away from Johnson Matthey catalyst deal, Bloomberg reportsHONInvesting.com
2026-02-21 22:54:17 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:54 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 22:54:17 | KEYWORD  | LMT    | $ 658.26 | News: Feb 21  01:54 PM ET    | KW: partners                       | Lockheed Martin Partners With Australia To Transform C-130J Aircrew Training | Lockheed Martin Partners With Australia To Transform C-130J Aircrew TrainingLMTBenzinga
2026-02-21 22:54:17 | KEYWORD  | LLY    | $1009.52 | News: Feb 21  12:54 PM ET    | KW: breakthrough                   | Eli Lilly's Landmark Trial Shows Major Psoriasis-Obesity Breakthrough With Taltz | Eli Lilly's Landmark Trial Shows Major Psoriasis-Obesity Breakthrough With Taltz-Zepbound ComboLLYBenzinga
2026-02-21 22:54:17 | KEYWORD  | JNJ    | $ 242.49 | News: Feb 21  11:54 AM ET    | KW: breakthrough                   | FDA Grants Breakthrough Status To Johnson & Johnson's Cancer Drug For Advanced H | FDA Grants Breakthrough Status To Johnson & Johnson's Cancer Drug For Advanced Head and Neck CancerJNJBenzinga
2026-02-21 22:54:17 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:54 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 22:54:17 | PRICE    | BTG    | $   5.39 | News: Feb 21  11:54 AM ET    | KW: none                           | B2Gold (BTG) Climbs 5.27% on Return to Profitability | B2Gold (BTG) Climbs 5.27% on Return to ProfitabilityBTGInsider Monkey
2026-02-21 22:54:17 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:54 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 22:54:17 | KEYWORD  | SONY   | $  21.93 | News: Feb 21  10:54 AM ET    | KW: acquisition                    | Sony Says Diverse Capital Sources Key for Acquisition | Sony Says Diverse Capital Sources Key for AcquisitionSONYBloomberg
